Categorie / Subcategorie RO,Category / Subcategory EN,Tip,Categorie părinte RO,Parent category EN,Descriere scurtă RO,Short description EN,Descriere SEO RO,SEO description EN,Meta title RO,Meta description RO,Meta title EN,Meta description EN
Corporate & grupuri,Corporate & groups,Categorie principală,,,"Activități pentru echipe, grupuri, evenimente private și pachete organizate.","Activities for teams, groups, private events and organized packages.","Descoperă team building, activități corporate, pachete de grup și evenimente private. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover team building, corporate activities, group packages and private events. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Corporate & grupuri | Bilete și rezervări online,"Descoperă corporate & grupuri pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Corporate & groups | Tickets & online bookings,"Discover corporate & groups on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Team building,Team building,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria team building și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book team building online and compare available experiences quickly.",Team building | Bilete și rezervări online,"Rezervă team building pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Team building | Tickets & online bookings,"Book team building on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Activități corporate,Corporate activities,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria activități corporate și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book corporate activities online and compare available experiences quickly.",Activități corporate | Bilete și rezervări online,"Rezervă activități corporate pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Corporate activities | Tickets & online bookings,"Book corporate activities on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Activități pentru grupuri,Activities for groups,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria activități pentru grupuri și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book activities for groups online and compare available experiences quickly.",Activități pentru grupuri | Bilete și rezervări online,"Rezervă activități pentru grupuri pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Activities for groups | Tickets & online bookings,"Book activities for groups on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Private events,Private events,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online.","Relevant experiences in Corporate & groups, easy to book online.","Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria private events și compară rapid activitățile disponibile.","Relevant experiences in Corporate & groups, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book private events online and compare available experiences quickly.",Private events | Bilete și rezervări online,"Rezervă private events pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Private events | Tickets & online bookings,"Book private events on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Group bookings,Group bookings,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online.","Relevant experiences in Corporate & groups, easy to book online.","Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria group bookings și compară rapid activitățile disponibile.","Relevant experiences in Corporate & groups, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book group bookings online and compare available experiences quickly.",Group bookings | Bilete și rezervări online,"Rezervă group bookings pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Group bookings | Tickets & online bookings,"Book group bookings on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Pachete corporate,Corporate packages,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria pachete corporate și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book corporate packages online and compare available experiences quickly.",Pachete corporate | Bilete și rezervări online,"Rezervă pachete corporate pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Corporate packages | Tickets & online bookings,"Book corporate packages on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Pachete aniversare,Birthday packages,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online.","Relevant experiences in Corporate & groups, easy to book online.","Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria pachete aniversare și compară rapid activitățile disponibile.","Relevant experiences in Corporate & groups, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book birthday packages online and compare available experiences quickly.",Pachete aniversare | Bilete și rezervări online,"Rezervă pachete aniversare pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Birthday packages | Tickets & online bookings,"Book birthday packages on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Pachete școli / clase,School / class packages,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale.","Organized experiences for groups, teams, classes or special events.","Experiențe organizate pentru grupuri, echipe, clase sau evenimente speciale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria pachete școli / clase și compară rapid activitățile disponibile.","Organized experiences for groups, teams, classes or special events. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book school / class packages online and compare available experiences quickly.",Pachete școli / clase | Bilete și rezervări online,"Rezervă pachete școli / clase pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",School / class packages | Tickets & online bookings,"Book school / class packages on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Activități pentru comunități,Activities for communities,Subcategorie,Corporate & grupuri,Corporate & groups,"Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online.","Relevant experiences in Corporate & groups, easy to book online.","Experiențe relevante din categoria Corporate & grupuri, ușor de rezervat online. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria activități pentru comunități și compară rapid activitățile disponibile.","Relevant experiences in Corporate & groups, easy to book online. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book activities for communities online and compare available experiences quickly.",Activități pentru comunități | Bilete și rezervări online,"Rezervă activități pentru comunități pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Activities for communities | Tickets & online bookings,"Book activities for communities on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Cultură & artă,Culture & art,Categorie principală,,,"Evenimente, spectacole, expoziții și experiențe culturale pentru toate vârstele.","Events, shows, exhibitions and cultural experiences for all ages.","Descoperă teatru, concerte, spectacole, dans, film, literatură și evenimente culturale. Alege activități potrivite pentru familie, copii, cupluri, prieteni, turiști, școli, echipe sau grupuri, cu rezervare simplă și experiențe ușor de comparat online.","Discover theatre, concerts, shows, dance, film, literature and cultural events. Choose activities for families, children, couples, friends, tourists, schools, teams or groups, with simple booking and experiences that are easy to compare online.",Cultură & artă | Bilete și rezervări online,"Descoperă cultură & artă pe bilete.online: activități, experiențe și bilete pentru familie, copii, prieteni, școli, turiști și grupuri.",Culture & art | Tickets & online bookings,"Discover culture & art on bilete.online: activities, experiences and tickets for families, children, friends, schools, tourists and groups."
Teatru,Theatre,Subcategorie,Cultură & artă,Culture & art,Evenimente culturale și artistice pentru seri memorabile și experiențe live.,Cultural and artistic events for memorable evenings and live experiences.,"Evenimente culturale și artistice pentru seri memorabile și experiențe live. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria teatru și compară rapid activitățile disponibile.","Cultural and artistic events for memorable evenings and live experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book theatre online and compare available experiences quickly.",Teatru | Bilete și rezervări online,"Rezervă teatru pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Theatre | Tickets & online bookings,"Book theatre on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Concerte,Concerts,Subcategorie,Cultură & artă,Culture & art,Evenimente culturale și artistice pentru seri memorabile și experiențe live.,Cultural and artistic events for memorable evenings and live experiences.,"Evenimente culturale și artistice pentru seri memorabile și experiențe live. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria concerte și compară rapid activitățile disponibile.","Cultural and artistic events for memorable evenings and live experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book concerts online and compare available experiences quickly.",Concerte | Bilete și rezervări online,"Rezervă concerte pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Concerts | Tickets & online bookings,"Book concerts on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Spectacole,Shows,Subcategorie,Cultură & artă,Culture & art,Evenimente culturale și artistice pentru seri memorabile și experiențe live.,Cultural and artistic events for memorable evenings and live experiences.,"Evenimente culturale și artistice pentru seri memorabile și experiențe live. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria spectacole și compară rapid activitățile disponibile.","Cultural and artistic events for memorable evenings and live experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book shows online and compare available experiences quickly.",Spectacole | Bilete și rezervări online,"Rezervă spectacole pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Shows | Tickets & online bookings,"Book shows on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Operă & balet,Opera & ballet,Subcategorie,Cultură & artă,Culture & art,Evenimente culturale și artistice pentru seri memorabile și experiențe live.,Cultural and artistic events for memorable evenings and live experiences.,"Evenimente culturale și artistice pentru seri memorabile și experiențe live. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria operă & balet și compară rapid activitățile disponibile.","Cultural and artistic events for memorable evenings and live experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book opera & ballet online and compare available experiences quickly.",Operă & balet | Bilete și rezervări online,"Rezervă operă & balet pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Opera & ballet | Tickets & online bookings,"Book opera & ballet on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Dans,Dance,Subcategorie,Cultură & artă,Culture & art,Evenimente culturale și artistice pentru seri memorabile și experiențe live.,Cultural and artistic events for memorable evenings and live experiences.,"Evenimente culturale și artistice pentru seri memorabile și experiențe live. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria dans și compară rapid activitățile disponibile.","Cultural and artistic events for memorable evenings and live experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book dance online and compare available experiences quickly.",Dans | Bilete și rezervări online,"Rezervă dans pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Dance | Tickets & online bookings,"Book dance on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Film & cinema,Film & cinema,Subcategorie,Cultură & artă,Culture & art,Evenimente culturale și artistice pentru seri memorabile și experiențe live.,Cultural and artistic events for memorable evenings and live experiences.,"Evenimente culturale și artistice pentru seri memorabile și experiențe live. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria film & cinema și compară rapid activitățile disponibile.","Cultural and artistic events for memorable evenings and live experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book film & cinema online and compare available experiences quickly.",Film & cinema | Bilete și rezervări online,"Rezervă film & cinema pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Film & cinema | Tickets & online bookings,"Book film & cinema on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Literatură,Literature,Subcategorie,Cultură & artă,Culture & art,"Tururi ghidate pentru a descoperi locuri, povești și experiențe locale.","Guided tours for discovering places, stories and local experiences.","Tururi ghidate pentru a descoperi locuri, povești și experiențe locale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria literatură și compară rapid activitățile disponibile.","Guided tours for discovering places, stories and local experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book literature online and compare available experiences quickly.",Literatură | Bilete și rezervări online,"Rezervă literatură pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Literature | Tickets & online bookings,"Book literature on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Evenimente culturale,Cultural events,Subcategorie,Cultură & artă,Culture & art,"Tururi ghidate pentru a descoperi locuri, povești și experiențe locale.","Guided tours for discovering places, stories and local experiences.","Tururi ghidate pentru a descoperi locuri, povești și experiențe locale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria evenimente culturale și compară rapid activitățile disponibile.","Guided tours for discovering places, stories and local experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book cultural events online and compare available experiences quickly.",Evenimente culturale | Bilete și rezervări online,"Rezervă evenimente culturale pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Cultural events | Tickets & online bookings,"Book cultural events on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
Festivaluri culturale,Cultural festivals,Subcategorie,Cultură & artă,Culture & art,"Tururi ghidate pentru a descoperi locuri, povești și experiențe locale.","Guided tours for discovering places, stories and local experiences.","Tururi ghidate pentru a descoperi locuri, povești și experiențe locale. Găsește opțiuni potrivite pentru weekend, vacanțe, ieșiri cu familia, grupuri de prieteni, școli sau evenimente private. Rezervă online experiențe din categoria festivaluri culturale și compară rapid activitățile disponibile.","Guided tours for discovering places, stories and local experiences. Find options for weekends, holidays, family outings, groups of friends, schools or private events. Book cultural festivals online and compare available experiences quickly.",Festivaluri culturale | Bilete și rezervări online,"Rezervă festivaluri culturale pe bilete.online. Compară experiențe, activități și pachete potrivite pentru familie, prieteni, școli sau grupuri.",Cultural festivals | Tickets & online bookings,"Book cultural festivals on bilete.online. Compare experiences, activities and packages for families, friends, schools or groups."
